Partition_ID,Loss,Accuracy
9,0.6770028925664525,0.6666666666666666
9,0.5139519739785708,0.8
9,0.5959854376210658,0.7241379310344828
9,0.5208567987384902,0.8
9,0.5494322028735035,0.7666666666666667
9,0.5801450200257231,0.7333333333333333
1,0.42366649326274786,0.8666666666666667
1,0.5945756377506061,0.7333333333333333
1,0.6282202235189376,0.6666666666666666
1,0.6722754712176252,0.6333333333333333
1,0.5358718053652144,0.7931034482758621
1,0.5300490417364832,0.8
31,0.5929593310807644,0.7333333333333333
31,0.5147952035312778,0.8
31,0.5316705645164645,0.8
31,0.563969648904247,0.7586206896551724
31,0.7010455224437432,0.6
31,0.6122667241872041,0.7
21,0.4986671952938268,0.8
21,0.6911208113922481,0.6206896551724138
21,0.6368194045135195,0.6666666666666666
21,0.5559088807821401,0.7666666666666667
21,0.6703864739240447,0.6333333333333333
21,0.5856042162304335,0.7333333333333333
